matched_registration_number,match_method,tribunal_property_factor,tribunal_registration_number,case_references,case_urls,application_complaints,hearing_date,outcome,outcome_type,pfeo_resolved,section_1_written_statement,section_2_communication,section_3_financial,section_4_debt,section_5_insurance,section_6_repairs,section_7_complaints,property_factor_duties,pdf_files,pdf_urls,upper_tribunal_decisions,upper_tribunal_urls
PF000484,registration_number,Homesbook Factoring Ltd,PF000484,FTS/HPC/PF/23/3717,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf233717,,2025-03-24T12:00:00Z,Complied,positive,resolved,False,False,False,False,False,False,False,False,Written Decision (Failure to Comply) (Proposed PFEO) PF.23.3717_Redacted.pdf | Property Factor Enforcement Order (PFEO) (Proposed) PF.23.3717_Redacted.pdf | Property Factor Enforcement Order (PFEO) PF.23.3717_Redacted.pdf | Certificate of Compliance PF 23.3717_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-05/Written%20Decision%20%28Failure%20to%20Comply%29%20%28Proposed%20PFEO%29%20PF.23.3717_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-05/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20%28Proposed%29%20PF.23.3717_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-09/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20PF.23.3717_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-11/Certificate%20of%20Compliance%20PF%2023.3717_Redacted.pdf,,
PF000103,registration_number,James Gibb,PF000103,FTS/HPC/PF/24/1687 | FTS/HPC/PF/24/1689,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf241687-ftshpcpf241689 | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf241687-ftshpcpf241689,"Written statement of services (Section 1 of Code), Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Debt recovery (Section 4 of Code)",2024-12-20T12:00:00Z,Complied,positive,resolved,True,True,True,True,False,False,False,False,Property Factor Enforcement Order (PFEO) (Proposed) 1687-1689 Redacted.pdf | Written Decision (Failure to Comply) (Proposed PFEO) 1687 1689 Redacted.pdf | Property Factor Enforcement Order (PFEO) PF 24.1687 & 1689_Redacted.pdf | Certificate of Compliance PF.24.1687 and PF.24.1689_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-03/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20%28Proposed%29%201687-1689%20Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-03/Written%20Decision%20%28Failure%20to%20Comply%29%20%28Proposed%20PFEO%29%201687%201689%20Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-05/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20PF%2024.1687%20%26%201689_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-11/Certificate%20of%20Compliance%20PF.24.1687%20and%20PF.24.1689_Redacted.pdf,,
PF000546,fuzzy_name (100%),James & George Collie Property Factor,,FTS/HPC/LA/25/2564,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcla252564,Carrying out repairs and maintenance(Section 6 of Code),2025-11-04T12:00:00Z,Rejected,positive,,False,False,False,False,False,True,False,False,REDACTED Written Decision (Rejection) 04.11.2025 2564.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-11/REDACTED%20Written%20Decision%20%28Rejection%29%2004.11.2025%202564.pdf,,
PF000288,registration_number,Hacking and Paterson (HPMS),PF000288,FTS/HPC/PF/24/3846,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf243846,,2025-10-06T12:00:00Z,Failure to Comply,negative,unresolved,False,False,False,False,False,False,False,False,Written Decision (Failure to Comply) (No Proposed PFEO) PF 24.3846_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-11/Written%20Decision%20%28Failure%20to%20Comply%29%20%28No%20Proposed%20PFEO%29%20PF%2024.3846_Redacted.pdf,,
PF000842,registration_number,Lorimer Stevenson,PF000842,FTS/HPC/PF/23/2448,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf232448,"Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Debt recovery (Section 4 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2024-11-12T12:00:00Z,Failure to Comply,negative,unresolved,False,True,True,True,False,True,True,True,Written Decision (Failure to Comply) (Proposed PFEO) (15.7.25) 2448_Redacted.pdf | Property Factor Enforcement Order (PFEO) (Proposed) (15.7.25) 2448_Redacted.pdf | REDACTED PFEO - 14.10.25 - PF 23 2448.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-08/Written%20Decision%20%28Failure%20to%20Comply%29%20%28Proposed%20PFEO%29%20%2815.7.25%29%202448_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-08/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20%28Proposed%29%20%2815.7.25%29%202448_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-11/REDACTED%20PFEO%20-%2014.10.25%20-%20PF%2023%202448.pdf,,
PF000196,fuzzy_name (100%),Ross and Liddell,,FTS/HPC/PF/24/3450,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf243450,,2025-10-29T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,REDACTED Leave to Appeal Review Decision - 29.10.25 - PF.24.3450.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-11/REDACTED%20Leave%20to%20Appeal%20Review%20Decision%20-%2029.10.25%20-%20PF.24.3450.pdf,,
PF000121,registration_number,Scottish Woodlands Ltd,PF000121,FTS/HPC/LM/23/1919,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpclm231919-0,"Written statement of services (Section 1 of Code), Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Debt recovery (Section 4 of Code), Property Factor Duties",2025-10-21T12:00:00Z,Unknown,neutral,,True,True,True,True,False,False,False,True,REDACTED Property Factor Enforcement Order 21.10.2025 1919.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-11/REDACTED%20Property%20Factor%20Enforcement%20Order%2021.10.2025%201919.pdf,,
PF000170,registration_number,Trinity Factoring Services Ltd,PF000170,FTS/HPC/PF/24/5520,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf245520,,2025-06-27T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,Written Decision (Complied) PF 24.5520_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-11/Written%20Decision%20%28Complied%29%20PF%2024.5520_Redacted.pdf,,
,unmatched,,,FTS/HPC/PF/25/0998,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf250998,"Communication and consultation (Section 2 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2025-10-17T12:00:00Z,Rejected,positive,,False,True,False,False,False,True,True,True,REDACTED Written Decision (Rejection) (17.10.25) 0998.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-10/REDACTED%20Written%20Decision%20%28Rejection%29%20%2817.10.25%29%200998.pdf,,
PF000160,registration_number,Speirs Gumley Property Management,PF000160,FTS/HPC/PF/25/1001,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf251001,"Communication and consultation (Section 2 of Code), Carrying out repairs and maintenance(Section 6 of Code), Property Factor Duties",2025-08-15T12:00:00Z,Dismissed,positive,,False,True,False,False,False,True,False,True,REDACTED Written Decision (Dismissal) 24.09.2025 1001.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-10/REDACTED%20Written%20Decision%20%28Dismissal%29%2024.09.2025%201001.pdf,,
PF000449,registration_number,Blythswood Property Management,PF000449,FTS/HPC/PF/23/1224,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf231224,Financial obligations (Section 3 of Code),2024-07-05T12:00:00Z,Failure to Comply,negative,unresolved,False,False,True,False,False,False,False,False,Written Decision (Failure to Comply) (Proposed PFEO) 1224.pdf | Property Factor Enforcement Order (PFEO) (Proposed) 1224.pdf | Decision 1224 31 01 25_Redacted.pdf | PFEO 1224 31 01 25_Redacted.pdf | Written Decision (Revoke Order) and Rule 40 Direction PF 23.1224_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-09/Written%20Decision%20%28Failure%20to%20Comply%29%20%28Proposed%20PFEO%29%201224.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-09/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20%28Proposed%29%201224.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-02/Decision%201224%2031%2001%2025_Redacted_0.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-02/PFEO%201224%2031%2001%2025_Redacted_0.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-10/Written%20Decision%20%28Revoke%20Order%29%20and%20Rule%2040%20Direction%20PF%2023.1224_Redacted_0.pdf,,
PF000449,registration_number,Blythswood Property Management,PF000449,FTS/HPC/PF/23/0926,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf230926,,2025-10-09T12:00:00Z,Dismissed,positive,,False,False,False,False,False,False,False,False,Written Decision (Dismissal) and Rule 40 Direction PF.23.0926_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-10/Written%20Decision%20%28Dismissal%29%20and%20Rule%2040%20Direction%20PF.23.0926_Redacted.pdf,,
PF000814,fuzzy_name (90%),Largiemore Estate Limited,,FTS/HPC/PF/22/3577 | FTS/HPC/PF/22/3578 | FTS/HPC/LM/22/3579,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf223577-ftshpcpf223578-ftshpclm223579 | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf223577-ftshpcpf223578-ftshpclm223579 | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf223577-ftshpcpf223578-ftshpclm223579,,2024-07-24T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,Written Decision (Non-Jurisdiction) PF.22.3577 PF.22.3578 and LM.22.3579_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-09/Written%20Decision%20%28Non-Jurisdiction%29%20PF.22.3577%20PF.22.3578%20and%20LM.22.3579_Redacted.pdf,2025UT17,https://www.scotcourts.gov.uk/media/aokjg1j5/2025ut17-decision-application-240089-240090-240092.pdf
PF000314,registration_number,Miller Property Management Ltd,PF000314,FTS/HPC/PF/19/2307 | FTS/HPC/PF/23/1461,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf192307-ftshpcpf231461 | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf192307-ftshpcpf231461,,2025-01-21T12:00:00Z,Failure to Comply,negative,unresolved,False,False,False,False,False,False,False,False,Written Decision (Failure to Comply) (Proposed PFEO) PF 19.2307 & 23.1461_Redacted.pdf | Property Factor Enforcement Order (PFEO) (Proposed) PF 19.2307 & 23.1461_Redacted.pdf | Property Factor Enforcement Order (PFEO) PF 19.2307 & 23.1461_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-08/Written%20Decision%20%28Failure%20to%20Comply%29%20%28Proposed%20PFEO%29%20PF%2019.2307%20%26%2023.1461_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-08/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20%28Proposed%29%20PF%2019.2307%20%26%2023.1461_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-10/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20PF%2019.2307%20%26%2023.1461_Redacted.pdf,,
PF000153,registration_number,Charles White Ltd,PF000153,FTS/HPC/PF/23/0063,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf230063,"Written statement of services (Section 1 of Code), Complaints resolution (Section 7 of Code)",2023-10-31T12:00:00Z,PFEO Proposed,negative,pending,True,False,False,False,False,False,True,False,Decision0063DG (1)_Redacted.pdf | ProposedPFEO0063_Redacted.pdf | PFEO0063Hillpark_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2023-12/Decision0063DG%20%281%29_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2023-12/ProposedPFEO0063_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-03/PFEO0063Hillpark_Redacted.pdf,2025UT65,https://www.scotcourts.gov.uk/media/r3ncv4i2/2025ut65-appeal-decision-charles-white-limited-v-aylmer-millen-240098.pdf
PF000843,registration_number,Indigo Square Property Ltd,PF000843,FTS/HPC/PF/23/3112,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf233112,"Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Debt recovery (Section 4 of Code), Insurance (Section 5 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2024-11-20T12:00:00Z,Failure to Comply,negative,unresolved,False,True,True,True,True,True,True,True,Property Factor Enforcement Order (PFEO) (Proposed) 3112 Redacted.pdf | Written Decision (Failure to Comply) (Proposed PFEO) 3112 Redacted.pdf | Property Factor Enforcement Order (PFEO) 3112 Redacted.pdf | Written Decision (Failure to Comply) (PFEO) 3112 Redacted.pdf | Cerificate of Compliance PF 23.3112_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-02/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20%28Proposed%29%203112%20Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-02/Written%20Decision%20%28Failure%20to%20Comply%29%20%28Proposed%20PFEO%29%203112%20Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-03/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%203112%20Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-03/Written%20Decision%20%28Failure%20to%20Comply%29%20%28PFEO%29%203112%20Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-09/Cerificate%20of%20Compliance%20PF%2023.3112_Redacted_0.pdf,2025UT50,https://www.scotcourts.gov.uk/media/fcii3hls/2025ut50-pta-decision-indigo-square-property-limited-v-nicola-wilson.pdf
PF000153,registration_number,Charles White Ltd,PF000153,FTS/HPC/PF/24/1410 | FTS/HPC/PF/24/4245,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf241410-ftshpcpf244245 | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf241410-ftshpcpf244245,"Debt recovery (Section 4 of Code), Carrying out repairs and maintenance(Section 6 of Code), Property Factor Duties",2024-12-03T12:00:00Z,Decision Issued,negative,,False,False,False,True,False,True,False,True,"Written Decision (Complied) 1410, 4245 Redacted.pdf",https://housingandpropertychamber.scot/sites/default/files/2025-01/Written%20Decision%20%28Complied%29%201410%2C%204245%20Redacted.pdf,2025UT61 | 2025UT81,https://www.scotcourts.gov.uk/media/m0zd5tfy/2025ut61-decision-appeal-di-rollo-v-charles-white-limited-250023.pdf | https://www.scotcourts.gov.uk/media/efjhmop2/upper-tribunal-decision-di-rollo-v-charles-white-2025ut81.pdf
PF000184,registration_number,South Lanarkshire Council Factoring Services,PF000184,FTS/HPC/PF/25/1067,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf251067,"Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2025-09-01T12:00:00Z,Failure to Comply,negative,unresolved,False,False,False,False,False,True,True,True,REDACTED Property Factor Enforcement Order (Proposed) (1.9.25) 1067.pdf | REDACTED Written Decision (Failure to Comply) (Proposed PFEO) (1.9.25) 1067.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-10/REDACTED%20Property%20Factor%20Enforcement%20Order%20%28Proposed%29%20%281.9.25%29%201067.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-10/REDACTED%20Written%20Decision%20%28Failure%20to%20Comply%29%20%28Proposed%20PFEO%29%20%281.9.25%29%201067.pdf,,
PF000170,registration_number,,PF000170,FTS/HPC/LM/24/0388 | FTS/HPC/LM/24/4160,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpclm240388-ftshpclm244160 | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpclm240388-ftshpclm244160,,2025-08-26T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,Written Decision LM 24.0388 & LM 24.4160_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-10/Written%20Decision%20LM%2024.0388%20%26%20LM%2024.4160_Redacted.pdf,,
